test
4
20 0
50 0
70 70
0 70
35 35
10
350 10
2
test
20 0
test
10 0
END_TURRET
scharnhorst main turret
43
36 0
60 0
60 4
63 8
69 19
69 22
70 22
70 35
69 35
69 38
67 44
67 54
72 54
72 66
67 66
67 79
61 82
58 84
54 86
51 87
46 88
36 88
36 88
25 88
21 87
17 86
14 84
10 82
5 79
5 66
0 66
0 54
4 54
4 44
2 38
2 35
1 35
1 22
2 22
2 19
8 8
11 4
11 0
37 45
20
180 190
3
GER280
-16 -33
GER280
0 -33
GER280
16 -33
END_TURRET
scharnhorst 150 turret
43
36 0
60 0
60 4
63 8
69 19
69 22
70 22
70 35
69 35
69 38
67 44
67 54
72 54
72 66
67 66
67 79
61 82
58 84
54 86
51 87
46 88
36 88
36 88
25 88
21 87
17 86
14 84
10 82
5 79
5 66
0 66
0 54
4 54
4 44
2 38
2 35
1 35
1 22
2 22
2 19
8 8
11 4
11 0
37 45
20
180 190
2
GER150
-16 -33
GER150
0 -33
END_TURRET
